Support is set to be 40.0%
number of length-1 frequent itemsets: 167
number of length-2 frequent itemsets: 753
number of length-3 frequent itemsets: 149
number of length-4 frequent itemsets: 7
number of length-5 frequent itemsets: 1
number of length-6 frequent itemsets: 0
number of length-7 frequent itemsets: 0
number of length-8 frequent itemsets: 0
number of length-9 frequent itemsets: 0
number of length-10 frequent itemsets: 0
number of length-11 frequent itemsets: 0
number of length-12 frequent itemsets: 0
number of length-13 frequent itemsets: 0
number of length-14 frequent itemsets: 0
number of length-15 frequent itemsets: 0
number of length-16 frequent itemsets: 0
number of length-17 frequent itemsets: 0
number of length-18 frequent itemsets: 0
number of length-19 frequent itemsets: 0
number of length-20 frequent itemsets: 0
number of length-21 frequent itemsets: 0
number of length-22 frequent itemsets: 0
number of length-23 frequent itemsets: 0
number of length-24 frequent itemsets: 0
number of length-25 frequent itemsets: 0
number of length-26 frequent itemsets: 0
number of length-27 frequent itemsets: 0
number of length-28 frequent itemsets: 0
number of length-29 frequent itemsets: 0
number of length-30 frequent itemsets: 0
number of length-31 frequent itemsets: 0
number of length-32 frequent itemsets: 0
number of length-33 frequent itemsets: 0
number of length-34 frequent itemsets: 0
number of length-35 frequent itemsets: 0
number of length-36 frequent itemsets: 0
number of length-37 frequent itemsets: 0
number of length-38 frequent itemsets: 0
number of length-39 frequent itemsets: 0
number of length-40 frequent itemsets: 0
number of length-41 frequent itemsets: 0
number of length-42 frequent itemsets: 0
number of length-43 frequent itemsets: 0
number of length-44 frequent itemsets: 0
number of length-45 frequent itemsets: 0
number of length-46 frequent itemsets: 0
number of length-47 frequent itemsets: 0
number of length-48 frequent itemsets: 0
number of length-49 frequent itemsets: 0
number of length-50 frequent itemsets: 0
number of length-51 frequent itemsets: 0
number of length-52 frequent itemsets: 0
number of length-53 frequent itemsets: 0
number of length-54 frequent itemsets: 0
number of length-55 frequent itemsets: 0
number of length-56 frequent itemsets: 0
number of length-57 frequent itemsets: 0
number of length-58 frequent itemsets: 0
number of length-59 frequent itemsets: 0
number of length-60 frequent itemsets: 0
number of length-61 frequent itemsets: 0
number of length-62 frequent itemsets: 0
number of length-63 frequent itemsets: 0
number of length-64 frequent itemsets: 0
number of length-65 frequent itemsets: 0
number of length-66 frequent itemsets: 0
number of length-67 frequent itemsets: 0
number of length-68 frequent itemsets: 0
number of length-69 frequent itemsets: 0
number of length-70 frequent itemsets: 0
number of length-71 frequent itemsets: 0
number of length-72 frequent itemsets: 0
number of length-73 frequent itemsets: 0
number of length-74 frequent itemsets: 0
number of length-75 frequent itemsets: 0
number of length-76 frequent itemsets: 0
number of length-77 frequent itemsets: 0
number of length-78 frequent itemsets: 0
number of length-79 frequent itemsets: 0
number of length-80 frequent itemsets: 0
number of length-81 frequent itemsets: 0
number of length-82 frequent itemsets: 0
number of length-83 frequent itemsets: 0
number of length-84 frequent itemsets: 0
number of length-85 frequent itemsets: 0
number of length-86 frequent itemsets: 0
number of length-87 frequent itemsets: 0
number of length-88 frequent itemsets: 0
number of length-89 frequent itemsets: 0
number of length-90 frequent itemsets: 0
number of length-91 frequent itemsets: 0
number of length-92 frequent itemsets: 0
number of length-93 frequent itemsets: 0
number of length-94 frequent itemsets: 0
number of length-95 frequent itemsets: 0
number of length-96 frequent itemsets: 0
number of length-97 frequent itemsets: 0
number of length-98 frequent itemsets: 0
number of length-99 frequent itemsets: 0
number of length-100 frequent itemsets: 0
